Time,Exchange,ImbType,imbalance_quantity,paired_quantity,reference_price,far_price,near_price,price_variation_indicator,Bid,Ask
8/3/2026 3:50:00 PM,Q,C,1319219,5848204,303.94,0,0, ,0,0
8/3/2026 3:50:10 PM,Q,C,1304634,5849342,304.24,0,0, ,0,0
8/3/2026 3:50:20 PM,Q,C,1318575,5849604,304.02,0,0, ,0,0
8/3/2026 3:50:30 PM,Q,C,1311297,5851338,304.1,0,0, ,0,0
8/3/2026 3:50:40 PM,Q,C,1285357,5886740,303.905,0,0, ,0,0
8/3/2026 3:50:50 PM,Q,C,1300752,5956709,303.815,0,0, ,0,0
8/3/2026 3:51:00 PM,Q,C,1268243,5991866,303.745,0,0, ,0,0
8/3/2026 3:51:10 PM,Q,C,1167788,6111406,303.51,0,0, ,0,0
8/3/2026 3:51:20 PM,Q,C,1131794,6146692,303.52,0,0, ,0,0
8/3/2026 3:51:30 PM,Q,C,1173676,6147092,303.33,0,0, ,0,0
8/3/2026 3:51:40 PM,Q,C,1169808,6147785,303.41,0,0, ,0,0
8/3/2026 3:51:50 PM,Q,C,1154633,6148945,303.63,0,0, ,0,0
8/3/2026 3:52:00 PM,Q,C,955252,6349532,303.6,0,0, ,0,0
8/3/2026 3:52:10 PM,Q,C,1812132,5679679,303.47,0,0, ,0,0
8/3/2026 3:52:20 PM,Q,C,983205,6505422,303.56,0,0, ,0,0
8/3/2026 3:52:30 PM,Q,C,991960,6507429,303.35,0,0, ,0,0
8/3/2026 3:52:40 PM,Q,C,998559,6508002,303.185,0,0, ,0,0
8/3/2026 3:52:50 PM,Q,C,863394,6678799,303.28,0,0, ,0,0
8/3/2026 3:53:00 PM,Q,C,876973,6680906,303.185,0,0, ,0,0
8/3/2026 3:53:10 PM,Q,C,703919,6962702,303.085,0,0, ,0,0
8/3/2026 3:53:20 PM,Q,C,732706,6980117,303.055,0,0, ,0,0
8/3/2026 3:53:30 PM,Q,C,718062,6984401,303.24,0,0, ,0,0
8/3/2026 3:53:40 PM,Q,C,759820,6984728,303.25,0,0, ,0,0
8/3/2026 3:53:50 PM,Q,C,723987,7019723,303.32,0,0, ,0,0
8/3/2026 3:54:00 PM,Q,C,624963,7230746,303.215,0,0, ,0,0
8/3/2026 3:54:10 PM,Q,C,757183,7274378,303.295,0,0, ,0,0
8/3/2026 3:54:20 PM,Q,C,738401,7296137,303.36,0,0, ,0,0
8/3/2026 3:54:30 PM,Q,C,864950,7386258,303.23,0,0, ,0,0
8/3/2026 3:54:40 PM,Q,C,1255406,7509672,303.29,0,0, ,0,0
8/3/2026 3:54:50 PM,Q,C,1076696,7843462,303.42,0,0, ,0,0
8/3/2026 3:55:00 PM,Q,C,738469,8800189,303.42,309.43,309,1,0,0
8/3/2026 3:55:01 PM,Q,C,724827,8813831,303.42,309.43,309,1,0,0
8/3/2026 3:55:02 PM,Q,C,766282,8787344,303.125,309.43,309,1,0,0
8/3/2026 3:55:03 PM,Q,C,776438,8783787,303.11,309.43,309,1,0,0
8/3/2026 3:55:04 PM,Q,C,790215,8775784,303.005,309.43,308.88,1,0,0
8/3/2026 3:55:05 PM,Q,C,790215,8775784,303.01,309.43,308.88,1,0,0
8/3/2026 3:55:06 PM,Q,C,789828,8775784,303.02,309.43,308.88,1,0,0
8/3/2026 3:55:07 PM,Q,C,789828,8775784,303.015,309.43,308.82,1,0,0
8/3/2026 3:55:08 PM,Q,C,790215,8775784,303.005,309.43,308.79,1,0,0
8/3/2026 3:55:09 PM,Q,C,837155,8766562,302.905,309.43,308.68,1,0,0
8/3/2026 3:55:10 PM,Q,C,830632,8771008,302.94,309.43,308.72,1,0,0
8/3/2026 3:55:11 PM,Q,C,824474,8775454,302.99,309.43,308.68,1,0,0
8/3/2026 3:55:12 PM,Q,C,824474,8775454,302.99,309.43,308.68,1,0,0
8/3/2026 3:55:13 PM,Q,C,820474,8779454,302.99,309.43,308.68,1,0,0
8/3/2026 3:55:14 PM,Q,C,779720,8784230,303.04,309.43,308.77,1,0,0
8/3/2026 3:55:15 PM,Q,C,777394,8784230,303.07,309.43,308.75,1,0,0
8/3/2026 3:55:16 PM,Q,C,773344,8787787,303.09,309.43,308.77,1,0,0
8/3/2026 3:55:17 PM,Q,C,773344,8787787,303.09,309.43,308.75,1,0,0
8/3/2026 3:55:18 PM,Q,C,778978,8784230,303.05,309.43,308.81,1,0,0
8/3/2026 3:55:19 PM,Q,C,778978,8784230,303.05,309.43,308.8,1,0,0
8/3/2026 3:55:20 PM,Q,C,778978,8784230,303.05,309.43,308.81,1,0,0
8/3/2026 3:55:21 PM,Q,C,777907,8784230,303.06,309.43,308.77,1,0,0
8/3/2026 3:55:22 PM,Q,C,778978,8784230,303.045,309.43,308.75,1,0,0
8/3/2026 3:55:23 PM,Q,C,778978,8784230,303.045,309.43,308.73,1,0,0
8/3/2026 3:55:24 PM,Q,C,777907,8784230,303.06,309.43,308.75,1,0,0
8/3/2026 3:55:25 PM,Q,C,777394,8784230,303.07,309.43,308.75,1,0,0
8/3/2026 3:55:26 PM,Q,C,777177,8784250,303.075,309.43,308.68,1,0,0
8/3/2026 3:55:27 PM,Q,C,773324,8787807,303.085,309.43,308.89,1,0,0
8/3/2026 3:55:28 PM,Q,C,772418,8787807,303.11,309.43,308.89,1,0,0
8/3/2026 3:55:29 PM,Q,C,761804,8791364,303.14,309.43,308.89,1,0,0
8/3/2026 3:55:30 PM,Q,C,750572,8798478,303.21,309.43,308.89,1,0,0
8/3/2026 3:55:31 PM,Q,C,750572,8798478,303.21,309.43,308.98,1,0,0
8/3/2026 3:55:32 PM,Q,C,755724,8794921,303.19,309.43,308.05,1,0,0
8/3/2026 3:55:33 PM,Q,C,755724,8794921,303.19,309.43,308.05,1,0,0
8/3/2026 3:55:34 PM,Q,C,751584,8798478,303.2,309.43,308.05,1,0,0
8/3/2026 3:55:35 PM,Q,C,751584,8798478,303.2,309.43,308.15,1,0,0
8/3/2026 3:55:36 PM,Q,C,751584,8798478,303.2,309.43,308.11,1,0,0
8/3/2026 3:55:37 PM,Q,C,751584,8798478,303.2,309.43,308.08,1,0,0
8/3/2026 3:55:38 PM,Q,C,755724,8794921,303.19,309.43,308.06,1,0,0
8/3/2026 3:55:39 PM,Q,C,751584,8798478,303.2,309.43,308.06,1,0,0
8/3/2026 3:55:40 PM,Q,C,761804,8791364,303.14,309.43,308.05,1,0,0
8/3/2026 3:55:41 PM,Q,C,772876,8787807,303.1,309.43,308,1,0,0
8/3/2026 3:55:42 PM,Q,C,768474,8791364,303.12,309.43,308.03,1,0,0
8/3/2026 3:55:43 PM,Q,C,762262,8791364,303.13,309.43,308.06,1,0,0
8/3/2026 3:55:44 PM,Q,C,757538,8794921,303.16,309.43,308.08,1,0,0
8/3/2026 3:55:45 PM,Q,C,761482,8791364,303.145,309.43,308.06,1,0,0
8/3/2026 3:55:46 PM,Q,C,761482,8791364,303.145,309.43,308,1,0,0
8/3/2026 3:55:47 PM,Q,C,761482,8791364,303.15,309.43,308.05,1,0,0
