Time,Exchange,ImbType,imbalance_quantity,paired_quantity,reference_price,clearing_price,closing_only_clearing_price,SSR_filling_price,condition_indicator,Bid,Ask
7/1/2026 8:00:01 AM,N,O,18993,3774,302.7,320,0,0,0,0,0
7/1/2026 8:00:02 AM,N,O,19138,3774,302.7,320,0,0,0,0,0
7/1/2026 8:00:03 AM,N,O,19158,3784,302.7,320,0,0,0,0,0
7/1/2026 8:00:04 AM,N,O,19160,3784,302.7,320,0,0,0,0,0
7/1/2026 8:00:11 AM,N,O,19161,3784,302.7,320,0,0,0,0,0
7/1/2026 8:00:12 AM,N,O,19167,3784,302.7,320,0,0,0,0,0
7/1/2026 8:00:13 AM,N,O,19168,3784,302.7,320,0,0,0,0,0
7/1/2026 8:00:14 AM,N,O,19208,3784,302.7,320,0,0,0,0,0
7/1/2026 8:00:17 AM,N,O,19196,3796,302.7,320,0,0,0,0,0
7/1/2026 8:00:19 AM,N,O,19197,3796,302.7,320,0,0,0,0,0
7/1/2026 8:00:20 AM,N,O,19201,3796,302.7,320,0,0,0,0,0
7/1/2026 8:00:22 AM,N,O,19195,3802,302.7,320,0,0,0,0,0
7/1/2026 8:00:31 AM,N,O,19200,3803,302.7,320,0,0,0,0,0
7/1/2026 8:00:32 AM,N,O,19380,3803,302.7,320,0,0,0,0,0
7/1/2026 8:00:35 AM,N,O,19410,3803,302.7,320,0,0,0,0,0
7/1/2026 8:00:36 AM,N,O,19394,3819,302.7,320,0,0,0,0,0
7/1/2026 8:00:38 AM,N,O,19397,3819,302.7,320,0,0,0,0,0
7/1/2026 8:00:46 AM,N,O,19396,3820,302.7,320,0,0,0,0,0
7/1/2026 8:00:47 AM,N,O,19496,3820,302.7,320,0,0,0,0,0
7/1/2026 8:00:54 AM,N,O,19491,3825,302.7,320,0,0,0,0,0
7/1/2026 8:00:56 AM,N,O,19492,3825,302.7,320,0,0,0,0,0
7/1/2026 8:00:58 AM,N,O,19443,3875,302.7,320,0,0,0,0,0
7/1/2026 8:01:03 AM,N,O,19458,3875,302.7,320,0,0,0,0,0
7/1/2026 8:02:48 AM,N,O,19460,3875,302.7,320,0,0,0,0,0
7/1/2026 8:02:50 AM,N,O,19455,3880,302.7,320,0,0,0,0,0
7/1/2026 8:02:53 AM,N,O,19453,3880,302.7,320,0,0,0,0,0
7/1/2026 8:03:34 AM,N,O,19449,3880,302.7,320,0,0,0,0,0
7/1/2026 8:03:37 AM,N,O,19450,3880,302.7,320,0,0,0,0,0
7/1/2026 8:03:49 AM,N,O,19657,3880,302.7,320,0,0,0,0,0
7/1/2026 8:04:01 AM,N,O,19661,3880,302.7,320,0,0,0,0,0
7/1/2026 8:04:39 AM,N,O,19662,3880,302.7,320,0,0,0,0,0
7/1/2026 8:04:58 AM,N,O,19663,3880,302.7,320,0,0,0,0,0
7/1/2026 8:05:01 AM,N,O,19735,4015,302.7,320,0,0,0,0,0
7/1/2026 8:05:02 AM,N,O,19785,4015,302.7,320,0,0,0,0,0
7/1/2026 8:05:03 AM,N,O,19950,4015,302.7,320,0,0,0,0,0
7/1/2026 8:05:04 AM,N,O,19959,4015,302.7,320,0,0,0,0,0
7/1/2026 8:05:07 AM,N,O,19973,4015,302.7,320,0,0,0,0,0
7/1/2026 8:05:53 AM,N,O,20258,4015,302.7,320,0,0,0,0,0
7/1/2026 8:05:54 AM,N,O,20260,4015,302.7,320,0,0,0,0,0
7/1/2026 8:06:25 AM,N,O,20259,4016,302.7,320,0,0,0,0,0
