Time,Exchange,ImbType,imbalance_quantity,paired_quantity,reference_price,far_price,near_price,price_variation_indicator,Bid,Ask
9/21/2026 9:25:00 AM,Q,O,-1218787,168926,236.7,0,0, ,0,0
9/21/2026 9:25:10 AM,Q,O,-1172470,216805,235.29,0,0, ,0,0
9/21/2026 9:25:20 AM,Q,O,-1107173,281873,234.76,0,0, ,0,0
9/21/2026 9:25:30 AM,Q,O,-1042261,346785,234.94,0,0, ,0,0
9/21/2026 9:25:40 AM,Q,O,-1013100,375949,234.65,0,0, ,0,0
9/21/2026 9:25:50 AM,Q,O,-1007497,381889,235,0,0, ,0,0
9/21/2026 9:26:00 AM,Q,O,-968983,420711,234.4,0,0, ,0,0
9/21/2026 9:26:10 AM,Q,O,-968955,421240,234.54,0,0, ,0,0
9/21/2026 9:26:20 AM,Q,O,-972778,418128,235.05,0,0, ,0,0
9/21/2026 9:26:30 AM,Q,O,-885454,505177,234.68,0,0, ,0,0
9/21/2026 9:26:40 AM,Q,O,-878171,512485,234.92,0,0, ,0,0
9/21/2026 9:26:50 AM,Q,O,-864690,526027,234.91,0,0, ,0,0
9/21/2026 9:27:00 AM,Q,O,-855176,536627,234.11,0,0, ,0,0
9/21/2026 9:27:10 AM,Q,O,-826856,565567,234.25,0,0, ,0,0
9/21/2026 9:27:20 AM,Q,O,-802118,589687,234,0,0, ,0,0
9/21/2026 9:27:30 AM,Q,O,-772579,615103,233.8,0,0, ,0,0
9/21/2026 9:27:40 AM,Q,O,-755321,634078,233.22,0,0, ,0,0
9/21/2026 9:27:50 AM,Q,O,-741108,656915,232.68,0,0, ,0,0
9/21/2026 9:28:00 AM,Q,O,-455481,967677,232.7,175,209.45,9,0,0
9/21/2026 9:28:01 AM,Q,O,-246357,1176542,230.27,200,207.25,9,0,0
9/21/2026 9:28:02 AM,Q,O,-263024,1159875,231.1,200,207.98,A,0,0
9/21/2026 9:28:03 AM,Q,O,-251916,1170983,230.71,200,207.81,9,0,0
9/21/2026 9:28:04 AM,Q,O,-280058,1142841,231.45,200,208.26,A,0,0
