
Time,Exchange,ImbType,imbalance_quantity,paired_quantity,reference_price,far_price,near_price,price_variation_indicator,Bid,Ask
8/3/2026 9:25:00 AM,Q,O,76352,161294,361.03,0,0, ,0,0
8/3/2026 9:25:10 AM,Q,O,68173,178399,362.77,0,0, ,0,0
8/3/2026 9:25:20 AM,Q,O,58427,188739,362.63,0,0, ,0,0
8/3/2026 9:25:30 AM,Q,O,52852,194406,362.8,0,0, ,0,0
8/3/2026 9:25:40 AM,Q,O,59717,195202,362.64,0,0, ,0,0
8/3/2026 9:25:50 AM,Q,O,59982,195676,362.89,0,0, ,0,0
8/3/2026 9:26:00 AM,Q,O,50425,205794,362.59,0,0, ,0,0
8/3/2026 9:26:10 AM,Q,O,50207,207750,362.41,0,0, ,0,0
8/3/2026 9:26:20 AM,Q,O,55235,204910,361.98,0,0, ,0,0
8/3/2026 9:26:30 AM,Q,O,55035,205114,361.98,0,0, ,0,0
8/3/2026 9:26:40 AM,Q,O,49242,211158,361.98,0,0, ,0,0
8/3/2026 9:26:50 AM,Q,O,70187,206278,361.75,0,0, ,0,0
8/3/2026 9:27:00 AM,Q,O,59233,217189,362.13,0,0, ,0,0
8/3/2026 9:27:10 AM,Q,O,67102,218506,362,0,0, ,0,0
8/3/2026 9:27:20 AM,Q,O,64398,219984,362.44,0,0, ,0,0
8/3/2026 9:27:30 AM,Q,O,96805,228455,362.54,0,0, ,0,0
8/3/2026 9:27:40 AM,Q,O,252931,248619,362.9,0,0, ,0,0
8/3/2026 9:27:50 AM,Q,O,233597,289820,364.79,0,0, ,0,0
8/3/2026 9:28:00 AM,Q,O,175248,397021,364.97,378.3,377,3,0,0
8/3/2026 9:28:01 AM,Q,O,81571,489338,365.34,371.01,370.23,1,0,0
8/3/2026 9:28:02 AM,Q,O,81063,489983,365.26,371,370.23,1,0,0
8/3/2026 9:28:03 AM,Q,O,75004,496052,365.14,370.23,370,1,0,0
8/3/2026 9:28:04 AM,Q,O,73450,497606,365.04,370.23,370,1,0,0
8/3/2026 9:28:05 AM,Q,O,71912,499144,365.05,370.23,370,1,0,0
8/3/2026 9:28:06 AM,Q,O,71586,499470,365.09,370.23,370,1,0,0
8/3/2026 9:28:07 AM,Q,O,74340,497929,364.98,370,370,1,0,0
8/3/2026 9:28:08 AM,Q,O,74330,497939,364.98,370,370,1,0,0
8/3/2026 9:28:09 AM,Q,O,86351,487561,364.74,370,369.99,1,0,0
8/3/2026 9:28:10 AM,Q,O,55948,514961,365.34,370,369.99,1,0,0
8/3/2026 9:28:11 AM,Q,O,56618,514428,365.24,370,369.99,1,0,0
8/3/2026 9:28:12 AM,Q,O,79630,492641,364.94,370,369.66,1,0,0
8/3/2026 9:28:13 AM,Q,O,79100,493171,364.96,370,369.66,1,0,0
8/3/2026 9:28:14 AM,Q,O,79081,493191,364.89,370,369.66,1,0,0
8/3/2026 9:28:15 AM,Q,O,80489,493413,364.85,370,369.66,1,0,0
8/3/2026 9:28:16 AM,Q,O,55081,515965,365.29,370,369.77,1,0,0
8/3/2026 9:28:17 AM,Q,O,55302,515744,365.27,370,369.77,1,0,0
8/3/2026 9:28:18 AM,Q,O,55265,515791,365.15,370,369.75,1,0,0
8/3/2026 9:28:19 AM,Q,O,53443,517613,365.13,370,369.35,1,0,0
8/3/2026 9:28:20 AM,Q,O,78181,495721,364.85,370,369.32,1,0,0
8/3/2026 9:28:21 AM,Q,O,76338,495934,364.9,370,369.28,1,0,0
8/3/2026 9:28:22 AM,Q,O,76340,495934,364.9,370,369.28,1,0,0
8/3/2026 9:28:23 AM,Q,O,53511,517545,365.07,370,369.28,1,0,0
8/3/2026 9:28:24 AM,Q,O,53530,517526,365.04,370,369.25,1,0,0
8/3/2026 9:28:25 AM,Q,O,53312,517734,365.18,370,369.14,1,0,0
8/3/2026 9:28:26 AM,Q,O,53312,517734,365.18,370,369.14,1,0,0
8/3/2026 9:28:27 AM,Q,O,53393,517663,365.13,370,369.14,1,0,0
8/3/2026 9:28:28 AM,Q,O,48393,522663,365.13,369.9,369,1,0,0
8/3/2026 9:28:29 AM,Q,O,46893,524163,365.13,369.5,368.85,1,0,0
8/3/2026 9:28:30 AM,Q,O,46893,524163,365.11,369.5,368.85,1,0,0
8/3/2026 9:28:31 AM,Q,O,46893,524163,365.11,369.5,368.87,1,0,0
8/3/2026 9:28:32 AM,Q,O,43839,527217,365.06,369.25,368.6,L,0,0
8/3/2026 9:28:33 AM,Q,O,68642,505433,364.87,369.25,368.6,1,0,0
8/3/2026 9:28:34 AM,Q,O,54754,517515,364.99,369.21,368.34,L,0,0
8/3/2026 9:28:35 AM,Q,O,41354,529702,365.03,369.14,368.24,L,0,0
8/3/2026 9:28:36 AM,Q,O,53922,518347,364.99,369.14,368.28,L,0,0
8/3/2026 9:28:37 AM,Q,O,64353,508124,364.91,369.14,368,L,0,0
8/3/2026 9:28:38 AM,Q,O,65727,508351,364.87,369.14,368,L,0,0
8/3/2026 9:28:39 AM,Q,O,65727,508351,364.87,369.14,368,L,0,0
8/3/2026 9:28:40 AM,Q,O,65725,508353,364.86,369.1,368,L,0,0
8/3/2026 9:28:41 AM,Q,O,68467,505642,364.81,369.1,367.99,L,0,0
8/3/2026 9:28:42 AM,Q,O,68469,505642,364.84,369.1,367.99,L,0,0
8/3/2026 9:28:43 AM,Q,O,68522,505602,364.79,369.1,367.99,L,0,0
8/3/2026 9:28:44 AM,Q,O,68685,505439,364.7,369.1,367.99,L,0,0
8/3/2026 9:28:45 AM,Q,O,63829,510295,364.77,368.77,367.5,L,0,0
8/3/2026 9:28:46 AM,Q,O,63744,510380,364.77,368.77,367.5,L,0,0
8/3/2026 9:28:47 AM,Q,O,63744,510380,364.77,368.77,367.5,L,0,0
8/3/2026 9:28:48 AM,Q,O,64757,509367,364.67,368.77,367.5,L,0,0
8/3/2026 9:28:49 AM,Q,O,62818,511306,364.72,368.72,367.48,L,0,0
8/3/2026 9:28:50 AM,Q,O,62657,511467,364.69,368.6,367.34,L,0,0
8/3/2026 9:28:51 AM,Q,O,61718,512406,364.72,368.6,367.3,L,0,0
8/3/2026 9:28:52 AM,Q,O,61718,512406,364.72,368.6,367.3,L,0,0
8/3/2026 9:28:53 AM,Q,O,62719,511405,364.6,368.53,367.34,L,0,0
8/3/2026 9:28:54 AM,Q,O,47319,526805,364.6,366.92,366.4,L,0,0
8/3/2026 9:28:55 AM,Q,O,47319,526805,364.6,366.67,366.42,L,0,0
8/3/2026 9:28:56 AM,Q,O,47473,526651,364.55,366.64,366.3,L,0,0
8/3/2026 9:28:57 AM,Q,O,46819,527305,364.6,366.64,366.64,L,0,0
8/3/2026 9:28:58 AM,Q,O,46819,527305,364.6,366.64,366.58,L,0,0
8/3/2026 9:28:59 AM,Q,O,46819,527305,364.6,366.64,366.64,L,0,0
8/3/2026 9:29:00 AM,Q,O,46819,527305,364.6,366.64,366.58,L,0,0
8/3/2026 9:29:01 AM,Q,O,49738,527387,364.6,366.64,366.45,L,0,0
8/3/2026 9:29:02 AM,Q,O,49329,527799,364.6,366.64,366.42,L,0,0
8/3/2026 9:29:03 AM,Q,O,49329,527799,364.6,366.64,366.64,L,0,0
8/3/2026 9:29:04 AM,Q,O,45513,531615,364.65,366.64,366.24,L,0,0
8/3/2026 9:29:05 AM,Q,O,43474,533654,364.65,366.64,366,L,0,0
8/3/2026 9:29:06 AM,Q,O,43446,533682,364.65,366.64,366,L,0,0
8/3/2026 9:29:07 AM,Q,O,42411,534729,364.78,366.64,366,L,0,0
8/3/2026 9:29:08 AM,Q,O,42388,534752,364.72,366.64,366,L,0,0
8/3/2026 9:29:09 AM,Q,O,42324,534826,364.77,366.64,366,L,0,0
8/3/2026 9:29:10 AM,Q,O,42263,534875,364.8,366.64,366,L,0,0
8/3/2026 9:29:11 AM,Q,O,39252,537886,364.85,366.64,366,L,0,0
8/3/2026 9:29:12 AM,Q,O,37078,538429,364.91,366.64,366,L,0,0
8/3/2026 9:29:13 AM,Q,O,37474,538034,364.89,366.64,366,L,0,0
8/3/2026 9:29:14 AM,Q,O,36813,539695,364.89,366.3,366,L,0,0
8/3/2026 9:29:15 AM,Q,O,2905,568141,365.26,365.81,365.67,L,0,0
8/3/2026 9:29:16 AM,Q,O,5337,565719,365.11,365.81,365.54,L,0,0
8/3/2026 9:29:17 AM,Q,O,5256,565790,365.16,365.81,365.6,L,0,0
8/3/2026 9:29:18 AM,Q,O,4662,566394,365.07,365.8,365.41,L,0,0
8/3/2026 9:29:19 AM,Q,O,4662,566394,365.07,365.8,365.39,L,0,0
8/3/2026 9:29:20 AM,Q,O,36842,541298,364.83,365.8,365.39,L,0,0
8/3/2026 9:29:21 AM,Q,O,3987,567069,365.01,365.39,365.28,L,0,0
8/3/2026 9:29:22 AM,Q,O,2547,568509,365.01,365.22,365.17,L,0,0
8/3/2026 9:29:23 AM,Q,O,89,570967,365.06,365.1,365.06,L,0,0
8/3/2026 9:29:24 AM,Q,O,27153,549356,364.95,365.1,365.03,L,0,0
8/3/2026 9:29:25 AM,Q,O,27152,549357,364.92,365.1,365.03,L,0,0
8/3/2026 9:29:26 AM,Q,O,27237,549357,364.92,365.1,365.03,L,0,0
8/3/2026 9:29:27 AM,Q,O,17057,559537,364.92,365,365,L,0,0
8/3/2026 9:29:28 AM,Q,O,17451,559145,364.89,365,365,L,0,0
8/3/2026 9:29:29 AM,Q,O,16735,561461,364.87,364.97,364.97,L,0,0
8/3/2026 9:29:30 AM,Q,O,35197,555820,364.48,364.97,364.97,L,0,0
8/3/2026 9:29:31 AM,Q,O,26359,563011,364.89,364.97,364.97,L,0,0
8/3/2026 9:29:32 AM,Q,O,31861,559152,364.79,364.97,364.97,L,0,0
8/3/2026 9:29:33 AM,Q,O,31834,559179,364.79,364.97,364.97,L,0,0
8/3/2026 9:29:34 AM,Q,O,31307,559706,364.79,364.97,364.97,L,0,0
8/3/2026 9:29:35 AM,Q,O,31285,559728,364.77,364.97,364.97,L,0,0
8/3/2026 9:29:36 AM,Q,O,30664,560349,364.78,364.97,364.97,L,0,0
8/3/2026 9:29:37 AM,Q,O,30664,560349,364.78,364.97,364.97,L,0,0
8/3/2026 9:29:38 AM,Q,O,32498,558518,364.65,364.97,364.97,L,0,0
8/3/2026 9:29:39 AM,Q,O,32498,558518,364.65,364.97,364.97,L,0,0
8/3/2026 9:29:40 AM,Q,O,31499,559514,364.69,364.97,364.97,L,0,0
8/3/2026 9:29:41 AM,Q,O,30616,560400,364.66,364.97,364.97,L,0,0
8/3/2026 9:29:42 AM,Q,O,30647,560369,364.65,364.97,364.97,L,0,0
8/3/2026 9:29:43 AM,Q,O,30571,560445,364.61,364.97,364.97,L,0,0
8/3/2026 9:29:44 AM,Q,O,29736,561280,364.62,364.97,364.97,L,0,0
8/3/2026 9:29:45 AM,Q,O,28313,562703,364.59,364.97,364.97,L,0,0
8/3/2026 9:29:46 AM,Q,O,28967,562049,364.55,364.97,364.97,L,0,0
8/3/2026 9:29:47 AM,Q,O,28967,562049,364.55,364.97,364.97,L,0,0
8/3/2026 9:29:48 AM,Q,O,28967,562049,364.55,364.97,364.97,L,0,0
8/3/2026 9:29:49 AM,Q,O,28964,562052,364.55,364.97,364.97,L,0,0
8/3/2026 9:29:50 AM,Q,O,24667,566349,364.56,364.97,364.97,L,0,0
8/3/2026 9:29:51 AM,Q,O,24362,566654,364.65,364.97,364.97,L,0,0
8/3/2026 9:29:52 AM,Q,O,24362,566654,364.65,364.97,364.97,L,0,0
8/3/2026 9:29:53 AM,Q,O,25618,565399,364.49,364.97,364.97,L,0,0
8/3/2026 9:29:54 AM,Q,O,25618,565399,364.47,364.97,364.97,L,0,0
8/3/2026 9:29:55 AM,Q,O,22194,568822,364.61,364.97,364.97,L,0,0
8/3/2026 9:29:56 AM,Q,O,15624,575392,364.63,364.97,364.97,L,0,0
8/3/2026 9:29:57 AM,Q,O,15624,575392,364.64,364.97,364.97,L,0,0
8/3/2026 9:29:58 AM,Q,O,14390,576623,364.67,364.97,364.97,L,0,0
8/3/2026 9:29:59 AM,Q,O,0,589369,364.97,364.97,364.97,L,0,0
8/3/2026 9:30:00 AM,Q,O,0,570909,365.55,365.55,365.55,L,0,0
