Time,Exchange,ImbType,imbalance_quantity,paired_quantity,reference_price,far_price,near_price,price_variation_indicator,Bid,Ask
7/30/2026 9:25:00 AM,Q,O,435730,679758,426.67,0,0, ,0,0
7/30/2026 9:25:10 AM,Q,O,-245127,1115370,431.14,0,0, ,0,0
7/30/2026 9:25:20 AM,Q,O,-10883,1121094,429.22,0,0, ,0,0
7/30/2026 9:25:30 AM,Q,O,-191584,1140675,429.08,0,0, ,0,0
7/30/2026 9:25:40 AM,Q,O,-144173,1147485,428.41,0,0, ,0,0
7/30/2026 9:25:50 AM,Q,O,0,1231922,427.75,0,0, ,0,0
7/30/2026 9:26:00 AM,Q,O,-11898,1237572,427.76,0,0, ,0,0
7/30/2026 9:26:10 AM,Q,O,-1208,1266695,427.42,0,0, ,0,0
7/30/2026 9:26:20 AM,Q,O,2671,1276937,427.42,0,0, ,0,0
7/30/2026 9:26:30 AM,Q,O,13134,1284188,427.77,0,0, ,0,0
7/30/2026 9:26:40 AM,Q,O,60989,1286853,427.98,0,0, ,0,0
7/30/2026 9:26:50 AM,Q,O,-8026,1351607,428.39,0,0, ,0,0
7/30/2026 9:27:00 AM,Q,O,109969,1368300,428.09,0,0, ,0,0
7/30/2026 9:27:10 AM,Q,O,89507,1400445,428.9,0,0, ,0,0
7/30/2026 9:27:20 AM,Q,O,60331,1436063,429.25,0,0, ,0,0
7/30/2026 9:27:30 AM,Q,O,59375,1445609,429.48,0,0, ,0,0
7/30/2026 9:27:40 AM,Q,O,429100,1530889,429.8,0,0, ,0,0
7/30/2026 9:27:50 AM,Q,O,517878,1813097,431.91,0,0, ,0,0
7/30/2026 9:28:00 AM,Q,O,637492,2047163,434.11,449.23,449,3,0,0
7/30/2026 9:28:01 AM,Q,O,382541,2291411,436.74,445.59,445.59,1,0,0
7/30/2026 9:28:02 AM,Q,O,379187,2294765,436.42,445.59,445.59,2,0,0
7/30/2026 9:28:03 AM,Q,O,383507,2294097,436.13,445.59,445.59,2,0,0
7/30/2026 9:28:04 AM,Q,O,382937,2294667,436.04,445.59,445.59,2,0,0
7/30/2026 9:28:05 AM,Q,O,381566,2296038,436.31,445.59,445.59,2,0,0
7/30/2026 9:28:06 AM,Q,O,407677,2275978,435.76,445.59,445.59,2,0,0
7/30/2026 9:28:07 AM,Q,O,399667,2283988,435.8,445.59,445.59,2,0,0
