Time,Exchange,ImbType,imbalance_quantity,paired_quantity,reference_price,far_price,near_price,price_variation_indicator,Bid,Ask
9/15/2026 9:25:00 AM,Q,O,239334,30035,176.98,0,0, ,0,0
9/15/2026 9:25:10 AM,Q,O,211926,49406,177.84,0,0, ,0,0
9/15/2026 9:25:20 AM,Q,O,206550,54783,177.78,0,0, ,0,0
9/15/2026 9:25:30 AM,Q,O,203927,57711,177.98,0,0, ,0,0
9/15/2026 9:25:40 AM,Q,O,199541,60023,178.33,0,0, ,0,0
9/15/2026 9:25:50 AM,Q,O,198961,60618,178.36,0,0, ,0,0
9/15/2026 9:26:00 AM,Q,O,200096,60661,178.24,0,0, ,0,0
9/15/2026 9:26:10 AM,Q,O,209180,62026,178.21,0,0, ,0,0
9/15/2026 9:26:20 AM,Q,O,208550,62657,178.28,0,0, ,0,0
9/15/2026 9:26:30 AM,Q,O,209004,63331,178.28,0,0, ,0,0
9/15/2026 9:26:40 AM,Q,O,209290,63065,178.18,0,0, ,0,0
9/15/2026 9:26:50 AM,Q,O,207380,65087,178.21,0,0, ,0,0
9/15/2026 9:27:00 AM,Q,O,207604,65079,178.12,0,0, ,0,0
9/15/2026 9:27:10 AM,Q,O,205828,73551,178.28,0,0, ,0,0
9/15/2026 9:27:20 AM,Q,O,205890,75698,178.59,0,0, ,0,0
9/15/2026 9:27:30 AM,Q,O,201204,83326,178.77,0,0, ,0,0
9/15/2026 9:27:40 AM,Q,O,193747,96228,178.87,0,0, ,0,0
9/15/2026 9:27:50 AM,Q,O,193647,107663,179.04,0,0, ,0,0
9/15/2026 9:28:00 AM,Q,O,80739,225903,179.44,187.43,185.1,3,0,0
9/15/2026 9:28:01 AM,Q,O,56260,250582,179.14,182.37,182,1,0,0
9/15/2026 9:28:02 AM,Q,O,57535,249808,178.95,182.15,182,1,0,0
9/15/2026 9:28:03 AM,Q,O,52221,254621,179.02,182.03,181.87,1,0,0
9/15/2026 9:28:04 AM,Q,O,57240,251490,178.84,182.03,181.93,1,0,0
9/15/2026 9:28:05 AM,Q,O,57240,251490,178.84,182.03,181.89,1,0,0
9/15/2026 9:28:06 AM,Q,O,57106,251625,178.82,182.03,181.85,1,0,0
9/15/2026 9:28:07 AM,Q,O,56951,251780,178.86,182.03,181.83,1,0,0
9/15/2026 9:28:08 AM,Q,O,56952,251780,178.86,182.03,181.83,1,0,0
9/15/2026 9:28:09 AM,Q,O,56907,251825,178.86,182.03,181.75,1,0,0
9/15/2026 9:28:10 AM,Q,O,56912,251825,178.86,182.03,181.71,1,0,0
9/15/2026 9:28:11 AM,Q,O,56620,252117,178.87,182.03,181.71,1,0,0
9/15/2026 9:28:12 AM,Q,O,56620,252117,178.87,182.03,181.65,1,0,0
9/15/2026 9:28:13 AM,Q,O,56153,252584,178.86,182,181.6,1,0,0
9/15/2026 9:28:14 AM,Q,O,56134,252604,178.81,182,181.57,1,0,0
9/15/2026 9:28:15 AM,Q,O,56136,252604,178.81,182,181.57,1,0,0
9/15/2026 9:28:16 AM,Q,O,56136,252604,178.81,182,181.57,1,0,0
9/15/2026 9:28:17 AM,Q,O,56136,252604,178.81,182,181.59,1,0,0
9/15/2026 9:28:18 AM,Q,O,55736,253004,178.84,182,181.55,1,0,0
9/15/2026 9:28:19 AM,Q,O,56340,252410,178.69,182,181.55,1,0,0
9/15/2026 9:28:20 AM,Q,O,55686,253164,178.8,182,181.55,1,0,0
9/15/2026 9:28:21 AM,Q,O,55862,252988,178.75,182,181.59,1,0,0
9/15/2026 9:28:22 AM,Q,O,55862,252988,178.75,182,181.59,1,0,0
9/15/2026 9:28:23 AM,Q,O,55080,253770,178.7,182,181.49,1,0,0
9/15/2026 9:28:24 AM,Q,O,54880,253970,178.7,182,181.47,1,0,0
9/15/2026 9:28:25 AM,Q,O,54588,254262,178.7,182,181.31,1,0,0
9/15/2026 9:28:26 AM,Q,O,54338,254512,178.7,182,181.31,1,0,0
9/15/2026 9:28:27 AM,Q,O,54428,254512,178.72,182,181.33,1,0,0
9/15/2026 9:28:28 AM,Q,O,54024,254906,178.82,182,181.27,1,0,0
9/15/2026 9:28:29 AM,Q,O,52834,255707,178.98,182,181.29,1,0,0
9/15/2026 9:28:30 AM,Q,O,53137,255407,178.89,182,181.27,1,0,0
9/15/2026 9:28:31 AM,Q,O,53137,255407,178.89,182,181.29,1,0,0
9/15/2026 9:28:32 AM,Q,O,53137,255407,178.89,182,181.23,1,0,0
9/15/2026 9:28:33 AM,Q,O,53137,255407,178.89,182,181.25,1,0,0
9/15/2026 9:28:34 AM,Q,O,53037,255507,178.89,182,181.23,1,0,0
9/15/2026 9:28:35 AM,Q,O,53037,255507,178.89,182,181.23,1,0,0
9/15/2026 9:28:36 AM,Q,O,52681,255860,178.99,182,181.31,1,0,0
9/15/2026 9:28:37 AM,Q,O,52681,255860,178.99,182,181.31,1,0,0
9/15/2026 9:28:38 AM,Q,O,48681,259860,178.99,181.75,181,1,0,0
9/15/2026 9:28:39 AM,Q,O,45055,263486,179,181.67,181,1,0,0
9/15/2026 9:28:40 AM,Q,O,44965,263586,179,181.65,181,1,0,0
9/15/2026 9:28:41 AM,Q,O,43345,263700,179.14,181.65,181,1,0,0
9/15/2026 9:28:42 AM,Q,O,43345,263700,179.13,181.65,181,1,0,0
9/15/2026 9:28:43 AM,Q,O,43342,263703,179.17,181.65,181,1,0,0
9/15/2026 9:28:44 AM,Q,O,43342,263703,179.17,181.65,181,1,0,0
9/15/2026 9:28:45 AM,Q,O,42342,264703,179.17,181.57,181,1,0,0
9/15/2026 9:28:46 AM,Q,O,44244,264586,179,181.57,181,1,0,0
9/15/2026 9:28:47 AM,Q,O,47924,260907,178.98,181.57,181,1,0,0
9/15/2026 9:28:48 AM,Q,O,47924,260907,178.98,181.56,181,1,0,0
9/15/2026 9:28:49 AM,Q,O,46894,261947,178.98,181.43,180.98,1,0,0
9/15/2026 9:28:50 AM,Q,O,46738,262103,178.97,181.41,180.9,1,0,0
