Time,Exchange,ImbType,imbalance_quantity,paired_quantity,reference_price,clearing_price,closing_only_clearing_price,SSR_filling_price,condition_indicator,Bid,Ask
5/13/2026 8:00:00 AM,N,O,40421,889,53.72,64.88,0,0,0,0,0
5/13/2026 8:00:09 AM,N,O,40421,889,53.72,73,0,0,0,0,0
5/13/2026 8:00:12 AM,N,O,40391,919,53.72,73,0,0,0,0,0
5/13/2026 8:00:13 AM,N,O,40582,919,53.72,73,0,0,0,0,0
5/13/2026 8:00:14 AM,N,O,40842,919,53.72,74,0,0,0,0,0
5/13/2026 8:00:15 AM,N,O,40850,919,53.72,74,0,0,0,0,0
5/13/2026 8:00:17 AM,N,O,40966,919,53.72,74,0,0,0,0,0
5/13/2026 8:00:19 AM,N,O,41566,919,53.72,74,0,0,0,0,0
5/13/2026 8:00:24 AM,N,O,41569,919,53.72,74,0,0,0,0,0
5/13/2026 8:00:28 AM,N,O,41691,919,53.72,74,0,0,0,0,0
5/13/2026 8:00:30 AM,N,O,41995,919,53.72,74,0,0,0,0,0
5/13/2026 8:00:32 AM,N,O,42005,919,53.72,74,0,0,0,0,0
5/13/2026 8:00:36 AM,N,O,42055,919,53.72,74,0,0,0,0,0
5/13/2026 8:00:37 AM,N,O,42130,919,53.72,74,0,0,0,0,0
5/13/2026 8:00:40 AM,N,O,42131,919,53.72,74,0,0,0,0,0
5/13/2026 8:00:57 AM,N,O,42141,919,53.72,74,0,0,0,0,0
5/13/2026 8:00:58 AM,N,O,42142,919,53.72,74,0,0,0,0,0
5/13/2026 8:01:08 AM,N,O,42143,919,53.72,74,0,0,0,0,0
5/13/2026 8:01:26 AM,N,O,42142,919,53.72,74,0,0,0,0,0
5/13/2026 8:02:54 AM,N,O,42152,919,53.72,74,0,0,0,0,0
5/13/2026 8:03:05 AM,N,O,42227,919,53.72,74,0,0,0,0,0
5/13/2026 8:03:17 AM,N,O,42247,919,53.72,74,0,0,0,0,0
5/13/2026 8:03:25 AM,N,O,42227,919,53.72,74,0,0,0,0,0
5/13/2026 8:03:34 AM,N,O,42627,919,53.72,74,0,0,0,0,0
5/13/2026 8:04:01 AM,N,O,42727,919,53.72,74,0,0,0,0,0
5/13/2026 8:04:02 AM,N,O,43927,919,53.72,74,0,0,0,0,0
5/13/2026 8:04:28 AM,N,O,44027,919,53.72,74,0,0,0,0,0
5/13/2026 8:05:40 AM,N,O,47877,1010,53.72,74,0,0,0,0,0
5/13/2026 8:06:05 AM,N,O,48077,1010,53.72,74,0,0,0,0,0
5/13/2026 8:06:06 AM,N,O,48080,1010,53.72,74,0,0,0,0,0
5/13/2026 8:06:10 AM,N,O,48160,1010,53.72,74,0,0,0,0,0
5/13/2026 8:06:12 AM,N,O,48145,1025,53.72,74,0,0,0,0,0
5/13/2026 8:06:26 AM,N,O,48146,1025,53.72,74,0,0,0,0,0
